Bank Name,Bank Website,Headquarters address,Headquarters country,CEO Name,Board description,Supervisor Name,Supervisor Website,Shareholder structure source,Source BankTrack,Latitude,Longitude
Macquarie,http://www.macquarie.com.au,"50 Martin Place,NSW 2000 Sydney",Australia,Shemara Wikramanayake,https://www.macquarie.com/au/about/company/leadership/board#/wikramanayake,Reserve Bank of Australia,http://www.rba.gov.au/,https://www.marketscreener.com/quote/stock/MACQUARIE-GROUP-LIMITED-6491460/company/,https://www.banktrack.org/bank/macquarie_group,-33.86715179999999,151.2102133
Manulife,http://www.manulife.com,"200 Bloor East Street,M4W 1E5 Toronto",Canada,Roy Gori,https://www.manulife.com/content/corporate/en/about/our-leaders.html,Bank of Canada,http://www.bank-banque-canada.ca/en,https://money.cnn.com/quote/shareholders/shareholders.html?symb=MFC&subView=institutional,https://www.banktrack.org/bank/manulife,43.6722713,-79.38217019999999
Mauritius Commercial Bank,http://www.mcbgroup.com/en/,"9-15 Sir William Newton Street,Port Louis",Mauritius,Alain Law Min,https://www.mcbgroup.com/en/news/story/Mr-Alain-Law-Min-appointed-as-CEO-of-MCB,Bank of Mauritius,https://www.bom.mu/,http://www.mcbgroup.com/en/group/about/Group_Structure,https://www.banktrack.org/bank/mauritius_commercial_bank,-20.1612168,57.50244219999999
Maybank,http://www.maybank.com,"Malayan Banking Berhad Level 14, Menara Maybank 100 Jalan Tun Perak,50050 Kuala Lumpur",Malaysia,Dato’ Khairussaleh Ramli,https://www.maybank.com/iwov-resources/corporate_new/document/my/en/pdf/corporate-news-release/2022/dato-khairussaleh-new-ceo-maybank.pdf,Central Bank of Malaysia,https://www.bnm.gov.my/index.php?ch=fs&pg=fs_spv&ac=396,https://www.marketscreener.com/quote/stock/MALAYAN-BANKING-6491196/company/,https://www.banktrack.org/bank/maybank,3.1472732,101.6995352
Mediobanca,http://www.mediobanca.it/en/index.html,"Piazzetta E. Cuccia, 1,20121 Milan",Italy,Alberto Nagel,http://www.mediobanca.it/en/consiglio-amministrazione/alberto-nagel.html,Banca d'Italia,http://www.bancaditalia.it/,https://www.mediobanca.com/en/corporate-governance/main-shareholders/index.html,https://www.banktrack.org/bank/mediobanca,45.4720482,9.1920381
Mega Bank,http://www.megabank.com.tw,"No 100, Chi-lin Road,10424 Taipei City","Taiwan, Republic of China",Chao-Shun Chang ,https://www.megabank.com.tw/en-us/english/index/about-mega/senior-mgmt,Central Bank of the Republic of China (Taiwan) ,http://www.cbc.gov.tw,https://www.marketscreener.com/quote/stock/MEGA-FINANCIAL-HOLDING-CO-6492317/company/,https://www.banktrack.org/bank/mega_bank,25.0329636,121.5654268
Mianyang City Commercial Bank,https://www.mycc-bank.com/,"3 Wenzhu Street W Section Linyuan Rd Fucheng,621000  Mianyang",China,None,None,Central Bank of the Republic of China (Taiwan) ,http://www.cbc.gov.tw,None,https://www.banktrack.org/bank/mianyang_city_commercial_bank,31.54131,104.55783
MUFG,http://www.bk.mufg.jp/global/,"7-1 Marunouchi 2-Chome Chiyoda,100-0005  Tokyo",Japan,Junichi Hanzawa,http://www.bk.mufg.jp/global/aboutus/management.html,Bank of Japan,http://www.boj.or.jp/en/,https://www.marketscreener.com/MITSUBISHI-UFJ-FINANCIAL-6492551/company/,https://www.banktrack.org/bank/bank_of_tokyo_mitsubishi_ufj,35.6800538,139.7630222
Mizrahi Tefahot Bank,https://www.mizrahi-tefahot.co.il/en/bank/pages/default.aspx,"7 Jaboutinsky St, P.O.B. 3450,52136 Ramat gan",Israel,Moshe Lary,https://www.mizrahi-tefahot.co.il/en/about-mizrahi-tefahot/officers-and-directors-en/,Bank of Israel,http://www.boi.org.il/en/Pages/Default.aspx,https://www.mizrahi-tefahot.co.il/en/Bank/About-us/Pages/Overview.aspx,https://www.banktrack.org/bank/mizrahi_tefahot_bank,32.0737943,34.8093534
Mizuho,https://www.mizuho-fg.com/index.html,"1–5–5, Otemachi, Chiyoda–ku 100–8176,Tokyo",Japan,Masahiro Kihara,https://www.mizuho-fg.com/company/info/executives/index.html,Financial Service Agency (Japan),http://www.fsa.go.jp/en/index.html,https://www.marketscreener.com/MIZUHO-FINANCIAL-GROUP-I-6496086/company/,https://www.banktrack.org/bank/mizuho,35.6854417,139.7653698
Morgan Stanley,http://www.morganstanley.com/,"1585 Broadway,NY 10036 New York",United States,Mr. James Gorman,http://www.morganstanley.com/about-us-governance/board.html,Federal Reserve,http://www.federalreserve.gov/,https://www.marketscreener.com/MORGAN-STANLEY-13654/company/,https://www.banktrack.org/bank/morgan_stanley,40.7600547,-73.9855324
NIBC,http://www.nibc.com,"Carnegieplein 4,2517 KJ The Hague",Netherlands,Paulus de Wilt,https://www.nibc.com/about-nibc/corporate-governance/executive-committee/paulus-de-wilt/,De Nederlandsche Bank,http://www.dnb.nl,https://www.nibc.com/about-nibc/investor-relations/equity-investors/shareholders/,https://www.banktrack.org/bank/nibc,52.087705,4.298697499999999
NatWest,https://www.natwestgroup.com/,"36 St Andrew Square,EH2 2YB  Edinburgh Scotland",United Kingdom,Alison Rose,https://www.natwestgroup.com/who-we-are/board-and-governance/executive-management-team/alison-rose.html,Bank of England,http://www.bankofengland.co.uk/,https://investors.natwestgroup.com/share-data/equity-ownership-statistics,https://www.banktrack.org/bank/natwest,55.9542519,-3.1916976
NAB,https://www.nab.com.au/,"800 Bourke St W, Docklands Victoria,3008 Melbourne",Australia,Ross McEwan,https://www.nab.com.au/about-us/board-of-directors/ross-mcewan,Reserve Bank of Australia,http://www.rba.gov.au/,https://www.marketscreener.com/NATIONAL-AUSTRALIA-BANK-L-6493174/company/,https://www.banktrack.org/bank/national_australia_bank_group,-37.8191061,144.9445055
National Bank of Egypt,https://www.nbe.com.eg/NBE/E/#/EN/Home,"1187 Corniche El Nil, Cairo Plaza,Cairo",Egypt,Hisham Okasha,https://www.nbe.com.eg/NBE/E/#/EN/BoardofDirectors,Central Bank of Egypt,http://www.cbe.org.eg/,None,https://www.banktrack.org/bank/national_bank_of_egypt,30.0614791,31.2276466
BPCE/Natixis,http://www.natixis.com/,"30, avenue Pierre Mendès France,75013 Paris",France,Nicolas Namias,https://www.natixis.com/natixis/jcms/ala_5373/en/senior-management,Banque de France,http://www.banque-france.fr/,https://groupebpce.com/en/the-group/organization,https://www.banktrack.org/bank/natixis,48.8386969,2.3705741
Nedbank,http://www.nedbankgroup.co.za/,"135 Rivonia Road,Gauteng 2196 Sandton",South Africa,Mr. Michael William Thomas Brown,https://www.nedbank.co.za/content/nedbank/desktop/gt/en/aboutus/about-nedbank-group/group-executive-committee.html,South African Reserve Bank,https://www.resbank.co.za,https://www.nedbank.co.za/content/nedbank/desktop/gt/en/investor-relations/investor-center/ordinary-shareholder-s-profile.html,https://www.banktrack.org/bank/nedbank,-26.1022367,28.0592786
NongHyup Bank,https://banking.nonghyup.com,"120, Tongil-ro, Jung-gu,04517 Seoul",South Korea,Kwon Jun-hak,https://www.koreatimes.co.kr/www/biz/2022/06/126_301757.html,Financial Supervisory Service (South Korea),http://english.fss.or.kr/fss/eng/main.jsp,http://eng.nhfngroup.com/user/indexMain.do?siteId=eng,https://www.banktrack.org/bank/nonghyup_bank,37.5638176,126.9688403
Nordea Bank,http://www.nordea.com,"Satamaradankatu 5,FI-00020 Helsinki",Finland,Frank Vang-Jensen,http://www.nordea.com/en/press-and-news/press-photos/group-ceo/,Finnish Financial Supervisory Authority,http://www.finanssivalvonta.fi,https://www.nordea.com/en/investor-relations/share/shareholders/,https://www.banktrack.org/bank/nordea,60.1903799,24.954886
Norges Bank,http://www.norges-bank.no,"Bankplassen 2,0151 Oslo",Norway,Ida Wolden Bache,http://www.norges-bank.no/en/about/Organisation/The-Executive-Board/,None,None,None,https://www.banktrack.org/bank/norges_bank,59.90860679999999,10.7423689
Norinchukin Bank,https://www.nochubank.or.jp/en/,"13-2, Yurakucho 1-chome, Chiyoda-ku,100-8420 Tokyo",Japan,Kazuto Oku,https://www.nochubank.or.jp/en/about/profile.html,Financial Service Agency (Japan),http://www.fsa.go.jp/en/index.html,https://www.nochubank.or.jp/en/about/profile.html,https://www.banktrack.org/bank/the_norinchukin_bank,35.6752314,139.7607356
Nykredit Bank,https://www.nykredit.com/en-gb/,"Kalvebod Brygge 1-3,1780  København V",Denmark,Michael Rasmussen,https://www.nykredit.com/en-gb/om-os/organisation/,Danish FSA,http://www.finanstilsynet.dk/en.aspx,http://forenetkredit.dk/,https://www.banktrack.org/bank/nykredit,55.6703549,12.5764431
O-Bank,http://www.o-bank.com,"No.99, Sec. 2, Tiding Blvd., Neihu Dist.,,Taipei City","Taiwan, Republic of China",Tina Y. Lo,https://www.o-bank.com/about/aboutmain/about-leadership,Central Bank of the Republic of China (Taiwan) ,http://www.cbc.gov.tw,https://www.o-bank.com/about/investor/shareholders/shareholder-structure,https://www.banktrack.org/bank/obank,25.0768435,121.5713391
OCBC Bank,http://www.ocbc.com/,"65 Chulia Street, OCBC Centre,049513",Singapore,Helen Wong,https://www.ocbc.com/group/about-us/our-leadership/management-team/helen-wong,Monetary Authority of Singapore (MAS),http://www.mas.gov.sg/,https://www.ocbc.com/group/investors/investor-information#Major-shareholders,https://www.banktrack.org/bank/ocbc,1.2854302,103.8493334
OP Financial Group,https://www.op.fi/op-financial-group,"Teollisuuskatu 1b 00510,00510 Helsinki",Finland,Timo Ritakallio,https://uusi.op.fi/op-financial-group/about-us/corporate-governance/executive-board,Finnish Financial Supervisory Authority,http://www.finanssivalvonta.fi,None,https://www.banktrack.org/bank/op_financial_group,60.1905483,24.9604615
PKO Bank Polski,http://www.pkobp.pl/pkobppl-en,"15 Pulawska Street,00-975  Warsaw",Poland,Pawel Gruza,https://www.pkobp.pl/pkobppl-en/about-us/management/,Narodowi Bank Polski,http://www.nbp.pl/homen.aspx?f=/srodeken.htm,https://www.marketscreener.com/quote/stock/PKO-BANK-POLSKI-S-A-4004922/company/,https://www.banktrack.org/bank/pko_bank_polski,52.2132412,21.0218257
PNC,https://www.pnc.com/,"249 Fifth Avenue, One PNC Plaza,PA 15222 Pittsburgh",United States,William S. Demchak,https://www.pnc.com/en/about-pnc/company-profile/leadership-team.html?lnksrc=topnav,Federal Reserve,http://www.federalreserve.gov/,https://money.cnn.com/quote/shareholders/shareholders.html?symb=PNC&subView=institutional,https://www.banktrack.org/bank/pnc,40.4412936,-80.0004871
Ping An Insurance Group,http://bank.pingan.com/en/index.shtml,"No. 5047 Shennan East Road Luohu District Shenzhen,518001 Guangdong",China,Yue Fei Hu,https://group.pingan.com/about_us/our_leadership.html,China Banking and Investment Regulatory Commission (CBIRC),https://www.cbirc.gov.cn/en/view/pages/index/index.html,https://www.marketscreener.com/quote/stock/PING-AN-BANK-CO-LTD-6495775/company/,https://www.banktrack.org/bank/ping_an_bank,22.54495,114.12911
Postal Savings Bank of China,http://www.psbc.com/cn/index.html,"No. 131 Xuanwumen West Street, Xicheng District,100808 Beijing",China,None,None,Central Bank of the Republic of China (Taiwan) ,http://www.cbc.gov.tw,https://www.marketscreener.com/quote/stock/POSTAL-SAVINGS-BANK-OF-CH-31587274/company/,https://www.banktrack.org/bank/postal_savings_bank_of_china,39.8991324,116.3621958
Rabobank,http://www.rabobank.nl,"Croeselaan 18,3521 CB Utrecht",Netherlands,Stefaan Decraene,https://www.rabobank.nl/over-ons/organisatie/onze-mensen/groepsdirectie/stefaan-decraene,De Nederlandsche Bank,http://www.dnb.nl,https://www.rabobank.com/nl/about-rabobank/cooperative/in-practice/index.html,https://www.banktrack.org/bank/rabobank,52.0864215,5.1092184
Raiffeisen Bank International,http://www.rbinternational.com ,"Am Stadtpark 9,A-1030 Vienna",Austria,Johann Strobl,https://www.rbinternational.com/eBusiness/01_template1/829189266947841370-829188968716049154_829601541395546781-829601541395546781-NA-2-EN.html,Oesterreichische Nationalbank,https://www.oenb.at/en/,http://investor.rbinternational.com/index.php?id=575&L=1,https://www.banktrack.org/bank/raiffeisen_zentralbank,48.2048472,16.3838656
Rizal Commercial Banking Corporation (RCBC),,"12/F Yuchengco Tower, RCBC Plaza, 6819 Ayala Ave. cor. Sen. Gil. J. Puyat Ave.,1200 Makati City",Philippines,Eugene Acevedo,https://en.wikipedia.org/wiki/Eugene_Acevedo,None,None,https://www.marketscreener.com/quote/stock/RIZAL-COMMERCIAL-BANKING-6496991/company/,https://www.banktrack.org/bank/rizal_commercial_banking_corporation_rcbc,14.5604612,121.01606
RBC,http://www.rbc.com,"200 Bay Street,ON  M5J 2J5 Toronto",Canada,David I. McKay,https://www.rbc.com/newsroom/news/executive-biographies/dave-mckay.html,Superintendent of Financial Institutions (OSFI),http://www.osfi-bsif.gc.ca/,https://www.marketscreener.com/ROYAL-BANK-OF-CANADA-1411559/company/,https://www.banktrack.org/bank/rbc,43.6465177,-79.3800808
Sberbank,http://www.sbrf.ru/en/,"19 Vavilova St,117997 Moscow",Russian Federation,None,None,Bank of Russia,http://www.cbr.ru/eng,https://www.marketscreener.com/SBERBANK-OF-RUSSIA-6494829/company/,https://www.banktrack.org/bank/sberbank,55.6995414,37.5801911
Scotiabank,http://www.scotiabank.com,"44 King St. W.,M5H 1H1 Toronto",Canada,Brian J. Porter,"http://www.scotiabank.com/ca/en/0,,532,00.html",Superintendent of Financial Institutions (OSFI),http://www.osfi-bsif.gc.ca/,https://www.marketscreener.com/BANK-OF-NOVA-SCOTIA-1409234/company/,https://www.banktrack.org/bank/scotiabank,43.6488253,-79.37999959999999
Shanghai Pudong Development Bank,http://www.spdb.com.cn,"NO.12 Zhongshan Dong Yi Road,200002 Shanghai",China,Wei Dong Pan,https://www.bloomberg.com/profile/person/16423667,China Banking and Investment Regulatory Commission (CBIRC),https://www.cbirc.gov.cn/en/view/pages/index/index.html,https://www.marketscreener.com/quote/stock/SHANGHAI-PUDONG-DEVELOPME-6495772/company/,https://www.banktrack.org/bank/shanghai_pudong_development_bank,31.230416,121.473701
Shinhan Financial Group,http://www.shinhangroup.com/en/index.jsp,"Shinhan Financial Group, Deakyung B/D, 120.2-Ga, Taepyung-ro, jung-Gu.,Seoul, 100-102",South Korea,Cho Yong-byoung,http://www.shinhangroup.com/en/introduce/chairman.jsp,Financial Supervisory Service (South Korea),http://english.fss.or.kr/fss/eng/main.jsp,https://money.cnn.com/quote/shareholders/shareholders.html?symb=SHG&subView=institutional,https://www.banktrack.org/bank/shinhan_financial_group,36.3243321,127.3934894
Shinkin Central Bank,https://www.shinkin-central-bank.jp/e/,"3-7, Yaesu 1-chome, Chuo-ku,103-0028 Tokyo",Japan,None,None,Financial Service Agency (Japan),http://www.fsa.go.jp/en/index.html,https://www.shinkin-central-bank.jp/e/preferred/index.html,https://www.banktrack.org/bank/shinkin_central_bank,35.6823579,139.7706392
Shinsei Bank,http://www.shinseibank.com,"4-3, Nihonbashi-muromachi 2-chome, Chuo-ku,103-8303 Tokyo",Japan,Hideyuki Kudo,https://www.shinseibank.com/corporate/en/about/officers/biography_kudo.html,Bank of Japan,http://www.boj.or.jp/en/,https://www.marketscreener.com/quote/stock/SHINSEI-BANK-LIMITED-6496758/company/,https://www.banktrack.org/bank/shinsei_bank,35.6874036,139.7739164
Skandinaviska Enskilda Banken (SEB),https://sebgroup.com/,"Kungsträdgårdsgatan 8,SE 106-40 Stockholm",Sweden,Johan Torgeby,http://sebgroup.com/about-seb/corporate-governance/president-and-ceo,Riksbank,http://www.riksbank.com/,https://sebgroup.com/investor-relations/the-share/largest-shareholders,https://www.banktrack.org/bank/seb,59.3313211,18.0729356
Société Générale,http://www.societegenerale.com/,"29, boulevard Haussmann,75009 Paris",France,Frédéric Oudéa,https://www.societegenerale.com/en/societe-generale-group/governance/board-of-directors,Banque de France,http://www.banque-france.fr/,https://www.societegenerale.com/en/measuring-our-performance/information-and-publications/share-capital,https://www.banktrack.org/bank/societe_generale,48.8728288,2.3323932
SpareBank 1 SR-Bank,https://www.sparebank1.no/en/sr-bank/personal.html,"Christen Tranesgate 35,4007 Stavanger",Norway,Benedicte Schilbred Fasmer,https://www.sparebank1.no/en/sr-bank/about-us/investor/corporate-governance/executive-management.html,Financial Supervisory Authority of Norway,https://www.finanstilsynet.no/,https://www.sparebank1.no/en/sr-bank/about-us/investor/financial-info/shareholders.html,https://www.banktrack.org/bank/sparebank_1_srbank,58.974255,5.720079699999999
Standard Bank,http://www.standardbank.co.za/,"9th Floor - 5 Simmonds St.,2001 Johannesburg",South Africa,Sim Tshabalala,http://www.standardbank.com/pages/StandardBankGroup/web/directors.html,South African Reserve Bank,https://www.resbank.co.za,industrial_commercial_bank_of_china#tab_bankprofiles_main,https://www.banktrack.org/bank/standard_bank,-26.2092237,28.0392239
Standard Chartered,http://www.standardchartered.com,"1 Basinghall Avenue,EC2V 5DD London",United Kingdom,Bill Winters,https://www.sc.com/en/people/bill-winters/,Bank of England,http://www.bankofengland.co.uk/,https://www.marketscreener.com/STANDARD-CHARTERED-4003394/company/,https://www.banktrack.org/bank/standard_chartered,51.5162078,-0.0903527
State Bank of India,https://sbi.co.in/,"Central Office, 8th Fl., Madame Cama Road 400 021,Mumbai",India,Dinesh Kumar Khara,https://sbi.co.in/web/about-us/board-of-directors,None,None,https://www.marketscreener.com/quote/stock/STATE-BANK-OF-INDIA-9058834/company/,https://www.banktrack.org/bank/state_bank_of_india,18.9253216,72.8236369
SMBC Group,http://www.smbc.co.jp/global/index.html,"1-1-2, Marunouchi, Chiyoda-ku,100-0005 Tokyo",Japan,Makoto Takashima,https://www.smbc.co.jp/global/aboutus/profile/officers_02.html,Bank of Japan,http://www.boj.or.jp/en/,https://www.smfg.co.jp/english/investor/stock/capital_shares.html,https://www.banktrack.org/bank/sumitomo_mitsui_banking_corporation,35.68509299999999,139.7623949
Sumitomo Mitsui Trust Holdings,http://www.smth.jp/en/,"1-4-1 Marunouchi, Chiyoda-ku,Tokyo",Japan,Toru Takakura,http://www.smth.jp/en/about_us/officer/index.html,Bank of Japan,http://www.boj.or.jp/en/,https://www.marketscreener.com/SUMITOMO-MITSUI-TRUST-HOL-6492055/company/,https://www.banktrack.org/bank/sumitomo_mitsui_trust_holdings,35.68435600000001,139.764932
Svenska Handelsbanken,http://www.handelsbanken.com,"Kungsträdgårdsgatan 2,SE-106 70 Stockholm",Sweden,Carina Akerstrom,https://www.handelsbanken.com/en/about-the-group/organisation/executive-management,Riksbank,http://www.riksbank.com/,http://www.4-traders.com/SVENSKA-HANDELSBANKEN-AB-6491089/company/,https://www.banktrack.org/bank/svenska_handelsbanken,59.33015409999999,18.0733345
Swedbank,http://www.swedbank.com,"Landsvägen 40,172 63 Sundbyberg",Sweden,Jens Henriksson,https://www.swedbank.com/about-swedbank/management-and-corporate-governance/ceo-and-group-executive-management/photos-and-cvs.html,Riksbank,http://www.riksbank.com/,https://www.swedbank.com/investor-relations/the-share/shareholders.html,https://www.banktrack.org/bank/swedbank,59.3602537,17.9714874
Swedish Export Credit Corporation (SEK),http://www.sek.se/en/,"Klarabergsviadukten 61-63 SE 101-23,Stockholm",Sweden,Magnus Montan,https://www.sek.se/en/?profile=magnus-montan-2,None,None,None,https://www.banktrack.org/bank/swedish_export_credit_corporation_sek,59.3302179,18.0554234
Sydbank,https://www.sydbank.com/,"Peberlyk 4,DK-6200 Aabenraa",Denmark,Karen Frøsig,https://www.sydbank.com/about/organisation,Danish FSA,http://www.finanstilsynet.dk/en.aspx,https://www.marketscreener.com/quote/stock/SYDBANK-A-S-1413034/company/,https://www.banktrack.org/bank/sydbank,55.023521,9.418823
Taishin International Bank,https://www.taishinbank.com.tw,"No.44 Chung-Shan N. Rd., Sec.2,,Taipei","Taiwan, Republic of China",Tong-Liang Wu,https://www.bloomberg.com/profile/person/13386594,Central Bank of the Republic of China (Taiwan) ,http://www.cbc.gov.tw,https://www.marketscreener.com/quote/stock/TAISHIN-FINANCIAL-HOLDING-6491714/company/,https://www.banktrack.org/bank/taishin_international_bank,25.138362,121.5116737
The co-operative bank,https://www.co-operativebank.co.uk/,"1 Balloon Street,M60 4EP Manchester",United Kingdom,Nick Slape,http://www.co-operativebank.co.uk/aboutus/governance/executive-management-team,Bank of England,http://www.bankofengland.co.uk/,https://saveourbank.coop/who-owns-the-coop-bank,https://www.banktrack.org/bank/the_co_operative_bank,53.4858462,-2.2411646
TD,http://www.td.com,"12th Floor, 55 King St. West,ON M5K 1A2 Toronto",Canada,Bharat Masrani,https://www.td.com/about-tdbfg/corporate-information/executive-profiles/masrani.jsp,Bank of Canada,http://www.bank-banque-canada.ca/en,https://money.cnn.com/quote/shareholders/shareholders.html?symb=TD&subView=institutional,https://www.banktrack.org/bank/td_bank_financial_group,43.64821500000001,-79.3807846
Triodos Bank,http://www.triodos.com,"Nieuweroordweg 1,3704 EC Zeist",Netherlands,Jeroen Rijpkema,https://www.triodos.com/governance#organisational-structure,De Nederlandsche Bank,http://www.dnb.nl,https://www.triodos.com/governance#organisational-structure,https://www.banktrack.org/bank/triodos_bank,52.08913399999999,5.225592199999999
Truist Financial Corporation,https://www.truist.com/,"214 N. Tryon St.,GA 30308 Charlotte",United States,William H. Rogers jr.,https://media.truist.com/executive-leadership-team,Federal Reserve,http://www.federalreserve.gov/,https://www.marketscreener.com/TRUIST-FINANCIAL-CORPORAT-11773/company/,https://www.banktrack.org/bank/suntrust_bank,32.1574351,-82.90712300000001
US Bancorp,https://www.usbank.com/index.html,"800 Nicolett Mall,55402 Minneapolis",United States,Andrew J. Cecere,https://ir.usbank.com/management/andrew-cecere,Federal Reserve,http://www.federalreserve.gov/,https://www.nasdaq.com/symbol/usb/ownership-summary,https://www.banktrack.org/bank/us_bancorp,44.9755906,-93.2738748
UBS,http://www.ubs.com,"Bahnhofstrasse 45,CH 8098 Zurich",Switzerland,Sergio P. Ermotti,https://www.ubs.com/global/en/our-firm/governance/ubs-group-ag/group-executive-board.html,FINMA,http://www.finma.ch/e/pages/default.aspx,https://money.cnn.com/quote/shareholders/shareholders.html?symb=UBS&subView=institutional,https://www.banktrack.org/bank/ubs,47.3719897,8.5382646
UK Export Finance,https://www.gov.uk/government/organisations/uk-export-finance,"1 Horse Guards Road,SW1A 2HQ London",United Kingdom,Louis Taylor,https://www.gov.uk/government/people/louis-taylor,None,None,None,https://www.banktrack.org/bank/uk_export_finance,51.5017158,-0.1283158
UniCredit,http://www.unicreditgroup.eu,"Plazza Gae Aulenti 3 - Tower A,20154 Milan",Italy,Andrea Orcel,https://www.unicreditgroup.eu/en/governance/management/andrea-orcel.html,None,None,https://www.marketscreener.com/quote/stock/UNICREDIT-S-P-A-33364083/company/,https://www.banktrack.org/bank/unicredit,45.4832471,9.1869064
United Overseas Bank (UOB),http://www.uobgroup.com/,"80 Raffles Avenue, UOB Plaza 1,048624",Singapore,Wee Ee Cheong,https://www.uobgroup.com/uobgroup/about/management/group-management-committee.page,Monetary Authority of Singapore (MAS),http://www.mas.gov.sg/,https://www.uobgroup.com/investor-relations/shares-and-dividends/shareholdings-statistics.html,https://www.banktrack.org/bank/uob,1.2852183,103.8511746
Wells Fargo,http://www.wellsfargo.com/,"420 Montgomery Street,CA 94104 San Francisco",United States,Charles W. Scharf,https://www.wellsfargo.com/about/corporate/governance/scharf/,Federal Reserve,http://www.federalreserve.gov/,https://money.cnn.com/quote/shareholders/shareholders.html?symb=WFC&subView=institutional,https://www.banktrack.org/bank/wells_fargo,37.7933827,-122.4026176
Westpac,http://www.westpac.com.au,"275 Kent Street,2000 Sydney",Australia,Peter King,https://www.westpac.com.au/about-westpac/westpac-group/board-of-directors/,Reserve Bank of Australia,http://www.rba.gov.au/,https://www.marketscreener.com/WESTPAC-BANKING-CORP-6492063/company/,https://www.banktrack.org/bank/westpac,-33.8660202,151.2041928
Woori Bank,https://www.wooribank.com/,"1-203, Hoehyeon-dong, Jung-gu,Seoul",South Korea,Won Duk Lee,https://spot.wooribank.com/pot/Dream?withyou=ENENG0009,Financial Supervisory Service (South Korea),http://english.fss.or.kr/fss/eng/main.jsp,https://money.cnn.com/quote/shareholders/shareholders.html?symb=WF&subView=institutional,https://www.banktrack.org/bank/woori_bank,37.5576619,126.9776955
Yuanta Commercial Bank,http://www.yuantabank.com.tw,"1F-10F 66 1F 2F 2F-1 7F 9F 68 Section 1 Dunhua S Rd,10557 Taipei City","Taiwan, Republic of China",Fan-Sheng Pu,https://www.yuantabank.com.tw/en/AboutYuantaBank/AFBmain_02.aspx,Central Bank of the Republic of China (Taiwan) ,http://www.cbc.gov.tw,https://www.marketscreener.com/quote/stock/YUANTA-FINANCIAL-HOLDING-6495923/company/,https://www.banktrack.org/bank/yuanta_commercial_bank,25.048607,121.550231
Zenith Bank,http://www.zenithbank.com,"Plot 84 Ajose Adeogun Street, Victoria Island,Lagos",Nigeria,Ebenezer Onyeagwu,https://www.zenithbank.com/about-us/management-team-2/,Central Bank of Nigeria,http://www.cenbank.org/,https://dmarketforces.com/jim-ovia-stake-in-zenith-bank-inches-near-n100-bln/,https://www.banktrack.org/bank/zenith_bank,6.4307517,3.4348096
Alfa Bank,http://www.alfabank.com,"27 Kalanchevskaya Street,107078 moscow",Russian Federation,Alexey Marey,http://alfabank.com/governance/executive/,None,None,http://alfabank.com/investor/ownership/,https://www.banktrack.org/bank/alfa_bank,55.77474179999999,37.6498205
BNDES,http://www.bndes.gov.br,"Av. Republica do Chile, 100 – 14*. Andar -  sala 1423,20031-917 Rio de Janeiro",Brazil,Luciano Coutinho,http://www.bndes.gov.br/SiteBNDES/bndes/bndes_en/Institucional/The_BNDES/boards.html,Banco Central do Brasil,http://www.bcb.gov.br/?english,None,https://www.banktrack.org/bank/bndes,-22.9083983,-43.179967
Bank Central Asia,http://www.bca.co.id/en,"Jl. MH Thamrin No. 1,10310 Jakarta",Indonesia,Jahja Setiaatmadja,http://www.bca.co.id/en/about/cari-tahu-tentang-bca/manajemen/manajemen_landing.jsp,Bank Indonesia,http://www.bi.go.id/web/en,None,https://www.banktrack.org/bank/bank_central_asia,-6.1828854,106.8233231
Bank Danamon,http://www.danamon.co.id,"Jl. Prof. Dr. Satrio Kav. E IV No. 6,12950 Jakarta",Indonesia,Sng Seow Wah,http://www.danamon.co.id/Home/AboutDanamon/CorporateInformation/ManagementTeam/ProfilDewanDireksi/tabid/410/language/en-US/Default.aspx,Bank Indonesia,http://www.bi.go.id/web/en,http://www.danamon.co.id/Home/AboutDanamon/InformasiInvestor/StrukturKepemilikanSahamdanInformasiSaham/tabid/433/language/en-US/Default.aspx,https://www.banktrack.org/bank/bank_danamon,-6.2248993,106.8289523
Bank Gospodarki Żywnościowej,http://www.bgz.pl/en/about/index.html,"ul. Kasprzaka 10/16,01-211 Warsaw",Poland,Jozef Wancer,http://www.bgz.pl/en/about/authorities/,Narodowi Bank Polski,http://www.nbp.pl/homen.aspx?f=/srodeken.htm,None,https://www.banktrack.org/bank/bank_gospodarki_ywno_ciowej,52.2295622,20.9748787
Bank Gospodarstwa Krajowego (BGK),http://www.bgk.com.pl,"Al. Jerozolimskie 7,00-955 Warsaw",Poland,Wojciech Kowalczyk,http://www.bgk.com.pl/governance/governance,Narodowi Bank Polski,http://www.nbp.pl/homen.aspx?f=/srodeken.htm,None,https://www.banktrack.org/bank/bank_gospodarstwa_krajowego,52.2163629,20.9601566
Bank Millennium,http://www.bankmillennium.pl,"Stanislawa Zaryna 2A,02-593 Warsaw",Poland,Joao Bras Jorge,http://www.bankmillennium.pl/en/about-the-bank/corporate-bodies-and-governance/management-board/,Narodowi Bank Polski,http://www.nbp.pl/homen.aspx?f=/srodeken.htm,None,https://www.banktrack.org/bank/bank_millennium,52.2051639,20.9979595
